file,theme,out,changed_props,contrast_min,contrast_avg,contrast_max,target_min,bg
/workspaces/barber-cam-preview/assets/img/logo/barbercam-hero-emblem-animated.svg,light,/workspaces/barber-cam-preview/assets/img/logo/barbercam-hero-emblem-animated.light.svg,16,1.0,13.74,18.92,4.5,#fafafa
/workspaces/barber-cam-preview/assets/img/logo/barbercam-hero-emblem-animated.svg,dark,/workspaces/barber-cam-preview/assets/img/logo/barbercam-hero-emblem-animated.dark.svg,18,1.0,12.28,18.92,4.5,#0a0a0f
/workspaces/barber-cam-preview/assets/img/logo/barbercam-mark-mono.svg,light,/workspaces/barber-cam-preview/assets/img/logo/barbercam-mark-mono.light.svg,9,1.04,15.08,18.92,4.5,#fafafa
/workspaces/barber-cam-preview/assets/img/logo/barbercam-mark-mono.svg,dark,/workspaces/barber-cam-preview/assets/img/logo/barbercam-mark-mono.dark.svg,9,1.0,12.29,19.75,4.5,#0a0a0f
/workspaces/barber-cam-preview/assets/img/logo/barbercam-header-lockup.svg,light,/workspaces/barber-cam-preview/assets/img/logo/barbercam-header-lockup.light.svg,10,1.0,13.05,18.92,4.5,#fafafa
/workspaces/barber-cam-preview/assets/img/logo/barbercam-header-lockup.svg,dark,/workspaces/barber-cam-preview/assets/img/logo/barbercam-header-lockup.dark.svg,11,1.0,13.2,18.92,4.5,#0a0a0f
/workspaces/barber-cam-preview/assets/img/logo/barbercam-footer-min.svg,light,/workspaces/barber-cam-preview/assets/img/logo/barbercam-footer-min.light.svg,10,1.0,13.05,18.92,4.5,#fafafa
/workspaces/barber-cam-preview/assets/img/logo/barbercam-footer-min.svg,dark,/workspaces/barber-cam-preview/assets/img/logo/barbercam-footer-min.dark.svg,11,1.0,13.2,18.92,4.5,#0a0a0f
/workspaces/barber-cam-preview/assets/img/logo/barbercam-social-round.svg,light,/workspaces/barber-cam-preview/assets/img/logo/barbercam-social-round.light.svg,8,1.04,12.82,18.92,4.5,#fafafa
/workspaces/barber-cam-preview/assets/img/logo/barbercam-social-round.svg,dark,/workspaces/barber-cam-preview/assets/img/logo/barbercam-social-round.dark.svg,9,1.0,13.35,19.75,4.5,#0a0a0f
/workspaces/barber-cam-preview/assets/img/logo/barbercam-footer-min copy.svg,light,/workspaces/barber-cam-preview/assets/img/logo/barbercam-footer-min copy.light.svg,3,1.04,14.19,18.92,4.5,#fafafa
/workspaces/barber-cam-preview/assets/img/logo/barbercam-footer-min copy.svg,dark,/workspaces/barber-cam-preview/assets/img/logo/barbercam-footer-min copy.dark.svg,10,1.06,12.18,19.75,4.5,#0a0a0f
/workspaces/barber-cam-preview/assets/img/logo/barbercam-badge.svg,light,/workspaces/barber-cam-preview/assets/img/logo/barbercam-badge.light.svg,9,1.04,14.94,18.92,4.5,#fafafa
/workspaces/barber-cam-preview/assets/img/logo/barbercam-badge.svg,dark,/workspaces/barber-cam-preview/assets/img/logo/barbercam-badge.dark.svg,13,1.0,11.57,19.75,4.5,#0a0a0f
/workspaces/barber-cam-preview/assets/img/logo/barbercam-mark.svg,light,/workspaces/barber-cam-preview/assets/img/logo/barbercam-mark.light.svg,7,1.04,13.18,18.92,4.5,#fafafa
/workspaces/barber-cam-preview/assets/img/logo/barbercam-mark.svg,dark,/workspaces/barber-cam-preview/assets/img/logo/barbercam-mark.dark.svg,8,1.0,12.81,19.75,4.5,#0a0a0f
/workspaces/barber-cam-preview/assets/img/logo/barbercam-social-square.svg,light,/workspaces/barber-cam-preview/assets/img/logo/barbercam-social-square.light.svg,8,1.04,12.82,18.92,4.5,#fafafa
/workspaces/barber-cam-preview/assets/img/logo/barbercam-social-square.svg,dark,/workspaces/barber-cam-preview/assets/img/logo/barbercam-social-square.dark.svg,9,1.0,13.35,19.75,4.5,#0a0a0f
/workspaces/barber-cam-preview/assets/img/logo/barbercam-heritage-shield.svg,light,/workspaces/barber-cam-preview/assets/img/logo/barbercam-heritage-shield.light.svg,10,1.0,12.74,18.92,4.5,#fafafa
/workspaces/barber-cam-preview/assets/img/logo/barbercam-heritage-shield.svg,dark,/workspaces/barber-cam-preview/assets/img/logo/barbercam-heritage-shield.dark.svg,14,1.0,12.17,19.75,4.5,#0a0a0f
